x=0.4665985 , y=10.310669 , z=-1.2299042
x=0.75852966 , y=9.415756 , z=-0.8279114
x=0.6125641 , y=9.49472 , z=-0.49291992
x=0.093322754 , y=10.061813 , z=0.0047912598
x=0.1268158 , y=9.846466 , z=-0.27278137
x=0.4402771 , y=9.511475 , z=-0.67237854
x=0.5168457 , y=9.327225 , z=-0.5670929
x=0.5312042 , y=9.712463 , z=-0.4785614
x=0.45942688 , y=9.846466 , z=-0.9882355
x=0.447464 , y=9.346359 , z=-1.2203369
x=0.49771118 , y=9.530609 , z=-1.105484
x=0.5168457 , y=9.94696 , z=-0.92362976
x=0.2033844 , y=9.9062805 , z=-1.2945099
x=0.2632141 , y=9.147766 , z=-1.0241241
x=0.48095703 , y=9.004196 , z=-1.2681885
x=0.26560974 , y=9.9062805 , z=-1.174881
x=0.5001068 , y=9.856033 , z=-0.83987427
x=0.81355286 , y=9.0759735 , z=-0.28234863
x=0.30389404 , y=9.353546 , z=0.06939697
x=0.093322754 , y=10.121643 , z=-0.6915283
x=0.3756714 , y=9.839294 , z=-1.7180481
x=0.50727844 , y=9.384644 , z=-1.0959167
x=0.59580994 , y=9.808182 , z=-0.67477417
x=0.51924133 , y=10.348953 , z=-1.2993011
x=0.45703125 , y=10.119247 , z=-2.3784637
x=0.68196106 , y=9.365509 , z=-1.964508
x=0.4665985 , y=9.643082 , z=-1.0935211
x=-0.088531494 , y=10.473389 , z=-0.9020996
x=0.34217834 , y=10.389633 , z=-0.6316986
x=1.450058 , y=9.57608 , z=-0.17706299
x=1.557724 , y=9.511475 , z=-0.67237854
x=0.5144501 , y=9.9756775 , z=-0.8494568
x=-0.03111267 , y=9.851257 , z=-0.088531494
x=0.2679901 , y=9.111862 , z=-0.34934998
x=0.72502136 , y=9.188446 , z=-1.5433655
x=1.0552368 , y=10.080963 , z=-1.2801666
x=1.0743713 , y=10.059433 , z=-0.26560974
x=0.34934998 , y=9.4253235 , z=-0.9020996
x=0.04547119 , y=8.518448 , z=-1.6031952
x=0.55513 , y=9.339188 , z=-1.0504456
x=0.99302673 , y=10.009171 , z=-1.3902283
x=0.66041565 , y=9.6263275 , z=-1.7060852
x=0.83987427 , y=9.504288 , z=0.04307556
x=0.9762726 , y=10.119247 , z=-0.035888672
x=0.36610413 , y=10.119247 , z=-1.8975067
x=0.5886383 , y=9.28894 , z=-2.4502563
x=0.8925171 , y=9.600006 , z=-1.2155609
x=0.4737854 , y=9.820145 , z=-1.1868439
x=0.062210083 , y=9.911072 , z=-1.450058
x=0.928421 , y=9.834503 , z=0.007171631
x=1.2370911 , y=9.779465 , z=-0.63648987
x=0.5240326 , y=10.052246 , z=-0.7298126
x=0.32302856 , y=9.714859 , z=-0.76330566
x=0.31106567 , y=9.456436 , z=-1.2179413
x=0.050247192 , y=9.913467 , z=-1.758728
x=0.7154541 , y=9.994827 , z=-0.5862427
x=1.2897339 , y=9.827316 , z=-0.7130585
x=0.6963043 , y=9.856033 , z=-1.1605225
x=0.48095703 , y=9.870392 , z=-1.1772614
x=0.98106384 , y=9.731613 , z=-0.727417
x=0.7537384 , y=9.49472 , z=-1.4955139
x=0.48095703 , y=9.394226 , z=-1.0815582
x=0.9762726 , y=9.554535 , z=0.36131287
x=1.0528412 , y=9.726822 , z=-0.2416687
x=0.8422699 , y=9.406189 , z=-0.9068756
x=1.0528412 , y=9.166901 , z=-0.78245544
x=0.6652069 , y=9.449265 , z=-0.8949127
x=-0.052642822 , y=9.707687 , z=-1.454834
x=0.55992126 , y=9.39183 , z=-1.2275238
x=1.105484 , y=9.769897 , z=-0.74894714
x=0.8231354 , y=10.145569 , z=-1.6199341
x=0.5862427 , y=10.076172 , z=-1.8281097
x=0.42352295 , y=10.344177 , z=-0.34217834
x=0.17228699 , y=10.990234 , z=0.2632141
x=0.19142151 , y=8.638092 , z=-4.778473
x=0.035888672 , y=8.037491 , z=-5.345566
x=0.117248535 , y=10.554749 , z=1.3399811
x=0.33021545 , y=11.083557 , z=2.1104736
x=0.44506836 , y=10.54277 , z=-1.0600128
x=1.1820526 , y=10.255646 , z=-0.6053772
x=2.490921 , y=10.25325 , z=1.6151581
x=2.3449707 , y=9.913467 , z=0.28474426
x=0.16270447 , y=8.951553 , z=-5.046463
x=0.062210083 , y=7.996811 , z=-1.9166565
x=0.5694885 , y=8.927628 , z=4.165909
x=-0.7130585 , y=9.662216 , z=2.5938263
x=-1.2322998 , y=9.221939 , z=-1.6462555
x=-0.2033844 , y=7.716858 , z=-2.4837494
x=0.086135864 , y=7.2143555 , z=-1.2514496
x=0.28234863 , y=8.085342 , z=-3.172882
x=1.3830566 , y=11.155334 , z=-3.0556335
x=2.6368866 , y=12.124435 , z=-0.3637085
x=1.8568268 , y=14.916855 , z=6.233307
x=-0.25125122 , y=8.985046 , z=-6.029907
x=-0.44506836 , y=6.7621155 , z=-11.437698
x=-0.3517456 , y=12.770493 , z=1.1509552
x=-1.5337982 , y=9.020935 , z=-1.3543396
x=-0.51924133 , y=9.951752 , z=-1.1892395
x=0.447464 , y=12.258423 , z=-1.0432739
x=3.4217377 , y=8.965912 , z=5.223526
x=5.4293213 , y=7.771881 , z=5.637497
x=-0.4283142 , y=11.1362 , z=-1.0480499
x=-3.328415 , y=7.8221436 , z=-9.980469
x=0.0047912598 , y=7.676178 , z=1.409378
x=0.5431671 , y=9.214767 , z=6.24527
x=0.0 , y=13.411774 , z=8.528015
x=0.15792847 , y=7.527817 , z=-8.575882
x=0.34217834 , y=5.230713 , z=-8.891724
x=-1.3639069 , y=9.207581 , z=4.340576
x=-1.902298 , y=8.437088 , z=-1.7108612
x=1.249054 , y=13.440491 , z=-3.7878418
x=3.1968079 , y=9.769897 , z=-3.9266205
x=4.3501587 , y=13.895126 , z=14.311478
x=1.146164 , y=7.4967194 , z=-5.304886
x=-2.5387878 , y=10.470993 , z=-14.400009
x=-2.3976135 , y=14.067398 , z=-2.5028992
x=0.7034912 , y=6.4989014 , z=2.5651093
x=1.799408 , y=6.7286224 , z=3.9553375
x=-1.450058 , y=11.365906 , z=-4.0797577
x=-1.8376923 , y=12.045471 , z=-0.67237854
x=0.55274963 , y=7.135391 , z=-0.2632141
x=1.3423767 , y=6.9176483 , z=4.101303
x=0.8494568 , y=8.788834 , z=0.33259583
x=2.1559296 , y=9.451645 , z=-5.09671
x=0.8231354 , y=11.787048 , z=-0.99302673
x=-1.4117584 , y=7.9465637 , z=-2.658432
x=1.1988068 , y=10.9040985 , z=3.378662
x=-0.5024872 , y=13.990829 , z=-0.45703125
x=-2.1511536 , y=9.911072 , z=-1.105484
x=-0.06700134 , y=7.3244324 , z=-4.6995087
x=1.9286194 , y=9.241089 , z=-4.240082
x=-0.45463562 , y=6.817154 , z=-9.841675
