x=0.5383752400316716 , y=4.677899256035533 , z=0.2201351789912261
x=0.3445610691335948 , y=4.955460008336074 , z=-0.7764621094701963
x=0.4079679961661061 , y=5.006904227922192 , z=-0.25841889453076905
x=0.19022841037524196 , y=4.553473365893164 , z=-0.8817385125650854
x=-0.36011716638053143 , y=4.634824354095266 , z=-1.0982879310334768
x=0.3804491914727758 , y=5.1672182404037414 , z=-0.2943146461476582
x=1.1018813208340197 , y=5.523749646261438 , z=-0.06340692703251127
x=0.5096662680158685 , y=5.065527597831687 , z=-0.7609060122232597
x=0.07656743107908592 , y=4.525954561199835 , z=-0.43070324373642055
x=0.11724673981899088 , y=4.923157646519727 , z=-0.3924195281968776
x=-0.23807924016081658 , y=5.0092998211225535 , z=-1.61153995957218
x=-0.10050047524958139 , y=4.638417743895809 , z=-0.8865296989658094
x=0.8099546386090153 , y=4.515189650353622 , z=0.27995634550090254
x=0.30029599987085503 , y=5.00570643132201 , z=0.15672825195871484
x=-0.1674931628049275 , y=5.067923191032048 , z=-0.41036358936646805
x=0.526412532585278 , y=4.742503979668226 , z=-0.3230236181634613
x=0.526412532585278 , y=4.7341270327446665 , z=-0.48932661364591595
x=-0.09092573172584158 , y=4.869317833733248 , z=-1.2059675566064358
x=-0.14596334111250217 , y=5.024848289091782 , z=-0.7357828007302913
x=0.13399300438840037 , y=4.729343475621651 , z=-0.7417641544534882
x=0.11724673981899088 , y=4.787966845531146 , z=-0.7704807557469995
x=0.33140056508702015 , y=5.128934524864198 , z=-0.38404258127331875
x=0.4438637477829952 , y=5.145688418711316 , z=-0.06101896310985743
x=0.150746898235518 , y=4.8896574881032 , z=-0.16151180908173066
x=0.19740756069861978 , y=4.762843634038178 , z=-0.18424705665204513
x=0.3948074921195314 , y=4.874101390856264 , z=-0.45702425182956985
x=0.17228434920565147 , y=4.872911223533791 , z=-0.8542273371494633
x=0.13878419078912435 , y=4.673108069634809 , z=-0.3708820772267441
x=0.3278148045641853 , y=4.747287536791242 , z=0.21295602866784827
x=0.22731432931460394 , y=4.920762053319366 , z=-0.21415382526802929
x=0.08374658140246374 , y=4.633626557495085 , z=-0.8338876827795108
x=0.023925414892787312 , y=4.390763760211253 , z=-0.677159430820796
x=-0.06700031683305425 , y=4.529547951000377 , z=-0.4139493498893029
x=0.03230236181634613 , y=4.742503979668226 , z=-0.6233196180343163
x=0.44625171170564903 , y=4.738910589867682 , z=-0.48812881704573496
x=0.6173382643111195 , y=4.713787378374715 , z=-0.14236995131195918
x=0.30986311411688666 , y=4.978195255906388 , z=-0.2488517802847374
x=0.10288843917223522 , y=5.289256166623456 , z=-0.4450615443831762
x=0.06460472363269226 , y=4.9985272809986325 , z=-0.8685780085185107
x=0.07536963447890492 , y=4.667126715911612 , z=-0.7393685612531262
x=0.17945587025132115 , y=5.011687785045207 , z=-0.5922150528181512
x=0.23329568303780077 , y=5.155255532957347 , z=-0.6149426711107575
x=0.37925902415030294 , y=4.707806024651517 , z=-0.4139493498893029
x=0.30627735359405184 , y=4.747287536791242 , z=-0.24645618708437542
x=0.046660662463101785 , y=5.030829642814979 , z=0.002395593200361995
x=0.06340692703251127 , y=4.923157646519727 , z=-0.13638859758876234
x=0.2201351789912261 , y=4.7556644837148 , z=-0.33618412221003596
x=0.25841889453076905 , y=4.663540955388777 , z=-0.28354210602373736
x=0.2655980448541469 , y=4.856157329686673 , z=-0.23927703676099757
x=0.22970992251496591 , y=4.923157646519727 , z=-0.4941101707689318
x=0.22372856879176908 , y=4.673108069634809 , z=-0.6101591139877417
x=0.2488517802847374 , y=4.765231597960832 , z=-0.5527335406784273
x=0.25841889453076905 , y=4.973404069505664 , z=-0.46180780895258566
x=0.10169064257205424 , y=4.953064415135712 , z=-0.6472450329271037
x=0.13160504046574653 , y=4.573813020263117 , z=-0.5120542319385223
x=0.24047483336117859 , y=4.502029146307047 , z=-0.634084528880529
x=0.13280283706592752 , y=4.953064415135712 , z=-0.5874314956951354
x=0.2500495768849184 , y=4.927941203642743 , z=-0.41993070361249973
x=0.4067701995659251 , y=4.537917268646228 , z=-0.14117215471177819
x=0.151944694835699 , y=4.676701459435352 , z=0.03469795501670813
x=0.046660662463101785 , y=5.060744040708671 , z=-0.3457588657337758
x=0.18783281717487996 , y=4.919571885996893 , z=-0.8590108942724791
x=0.25363533740775324 , y=4.692249927404581 , z=-0.5479499835554115
x=0.297900406670493 , y=4.904015788749956 , z=-0.33738191881021695
x=0.25961669113095004 , y=5.174397390727119 , z=-0.6496406261274656
x=0.22851212591478492 , y=5.05954624410849 , z=-1.1892136627593182
x=0.34097530861076 , y=4.682682813158549 , z=-0.9822389878146668
x=0.23329568303780077 , y=4.8214670039476735 , z=-0.5467521869552304
x=-0.044265069262739785 , y=5.236614150437157 , z=-0.45104289810637305
x=0.17108655260547048 , y=5.194737045097071 , z=-0.3158444678400835
x=0.7250178898840788 , y=4.787966845531146 , z=-0.08853013852547957
x=0.7788500733928502 , y=4.7556644837148 , z=-0.33618412221003596
x=0.25722109793058806 , y=4.98776237015242 , z=-0.4247218900132237
x=-0.015556097246936648 , y=4.92555323972009 , z=-0.044265069262739785
x=0.13399300438840037 , y=4.555861329815818 , z=-0.1746723131283053
x=0.36250513030318526 , y=4.59415267463307 , z=-0.7716709230694724
x=0.5276103291854589 , y=5.040404386338719 , z=-0.640073511881434
x=0.5371774434314907 , y=5.029639475492506 , z=-0.13280283706592752
x=0.1746723131283053 , y=4.712589581774533 , z=-0.45104289810637305
x=0.022735247570314473 , y=4.259158719745506 , z=-0.8015853209631647
x=0.27756075230054056 , y=4.669522309111974 , z=-0.5252147359850969
x=0.4965057639692938 , y=5.004508634721829 , z=-0.6951034919903865
x=0.33020276848683916 , y=4.813090057024114 , z=-0.8530295405492823
x=0.41993070361249973 , y=4.752071093914257 , z=0.021537450970133473
x=0.48812881704573496 , y=5.05954624410849 , z=-0.01794406116959048
x=0.18304926005186414 , y=5.05954624410849 , z=-0.9487388293981397
x=0.2943146461476582 , y=4.644399097619006 , z=-1.2251094143762074
x=0.44625171170564903 , y=4.79992955297754 , z=-0.6077711500650879
x=0.23688907283834373 , y=4.909997142473153 , z=-0.5934128494183322
x=0.031104565216165135 , y=4.955460008336074 , z=-0.7250178898840788
x=0.4642034021529477 , y=4.917176292796531 , z=0.003585760522834833
x=0.6185360609113005 , y=4.8896574881032 , z=-0.3182400610404455
x=0.2620122843313121 , y=5.026046085691963 , z=-0.3649007235035473
x=0.16151180908173066 , y=4.857355126286854 , z=-0.38164698807295677
x=0.15553045535853383 , y=4.72814567902147 , z=-0.6089613173875607
x=0.025123211492968308 , y=4.956657804936254 , z=-0.8793505486424316
x=0.35772157318016945 , y=4.99733711367616 , z=-0.2931168495474772
x=0.6448570690044498 , y=4.913582902995988 , z=-0.35652377657998846
x=0.3481468296564296 , y=4.927941203642743 , z=-0.5802523453717575
x=0.24047483336117859 , y=4.935120353966122 , z=-0.5886216630176082
x=0.490524410246097 , y=4.865732073210413 , z=-0.3637029269033663
x=0.37686343094994096 , y=4.747287536791242 , z=-0.7477455081766851
x=0.24047483336117859 , y=4.697041113805304 , z=-0.5407708332320336
x=0.48812881704573496 , y=4.7771943054072254 , z=0.18065366685150214
x=0.526412532585278 , y=4.863336480010052 , z=-0.1208325003418257
x=0.4211285002126807 , y=4.703022467528502 , z=-0.4534308620290269
x=0.526412532585278 , y=4.583380134509149 , z=-0.3912217315966966
x=0.33259836168720114 , y=4.724559918498635 , z=-0.44744950830583
x=-0.026321008093149304 , y=4.85376936576402 , z=-0.7274058538067326
x=0.27995634550090254 , y=4.6958433172051235 , z=-0.6137525037882847
x=0.5527335406784273 , y=4.884873930980184 , z=-0.3744678377495789
x=0.41156138596664904 , y=5.072706748155064 , z=-0.8099546386090153
x=0.2931168495474772 , y=5.038008793138356 , z=-0.9140408743814316
x=0.21175823206766728 , y=5.172009426804465 , z=-0.17108655260547048
x=0.08614217460282574 , y=5.4950330449679265 , z=0.13160504046574653
x=0.0957092888488574 , y=4.318979886255183 , z=-2.3891998656425573
x=0.01794406116959048 , y=4.018683886384328 , z=-2.672741971666295
x=0.05862336990949544 , y=5.277293459177062 , z=0.6699802804974181
x=0.16510519888227365 , y=5.541693707431028 , z=1.0552206583709178
x=0.2225307721915881 , y=5.271304476176157 , z=-0.5299982931081128
x=0.5910172562179702 , y=5.127744357541725 , z=-0.30268396379350887
x=1.2454414394684516 , y=5.126546560941544 , z=0.8075666746863615
x=1.1724673981899087 , y=4.956657804936254 , z=0.14236995131195918
x=0.08135098820210175 , y=4.475708138213897 , z=-2.523192870030958
x=0.031104565216165135 , y=3.998344232014375 , z=-0.9583135729218795
x=0.28473990262391835 , y=4.463745430767504 , z=2.0829225120485053
x=-0.35652377657998846 , y=4.831034118193705 , z=1.2968932883322775
x=-0.6161404677109386 , y=4.610898939202479 , z=-0.8231151426555899
x=-0.10169064257205424 , y=3.858369873902778 , z=-1.2418556789456168
x=0.04306727266255879 , y=3.607122500417679 , z=-0.6257152112346783
x=0.14117215471177819 , y=4.042609301277115 , z=-1.5864167480792117
x=0.6915177314675516 , y=5.577581829770209 , z=-1.5277933781697162
x=1.3184231100247028 , y=6.062124886293109 , z=-0.18185146345168315
x=0.9283991750281871 , y=7.458313223997079 , z=3.1166057194492898
x=-0.1256236867425497 , y=4.492454402783307 , z=-3.0149074475995277
x=-0.2225307721915881 , y=3.381005967703256 , z=-5.718761613759695
x=-0.17587010972848632 , y=6.385148504456571 , z=0.5754687882487417
x=-0.7668873659464566 , y=4.510398463952898 , z=-0.677159430820796
x=-0.25961669113095004 , y=4.975799662706026 , z=-0.5946106460185132
x=0.22372856879176908 , y=6.129117573848456 , z=-0.5216289754622622
x=1.7108426382215804 , y=4.482887288537276 , z=2.6117230085564374
x=2.7146190770063807 , y=3.8858810493184004 , z=2.8187053127787967
x=-0.21415382526802929 , y=5.5680147155241775 , z=-0.524016939384916
x=-1.6641819757584786 , y=3.911011890089077 , z=-4.9901579633527815
x=0.002395593200361995 , y=3.8380302195328255 , z=0.7046782355141262
x=0.2715793985773437 , y=4.607313178679644 , z=3.1225870731724865
x=0.0 , y=6.705784158697378 , z=4.263942276868522
x=0.07896302427944792 , y=3.7638507523763933 , z=-4.287875321039017
x=0.17108655260547048 , y=2.6153163983569803 , z=-4.445793740320205
x=-0.6819429879438118 , y=4.6037197888791015 , z=2.170254853973804
x=-0.9511344225985017 , y=4.218479411005601 , z=-0.8554175044719361
x=0.6245174146344974 , y=6.7201424593441335 , z=-1.8938918982734445
x=1.5983794555256052 , y=4.884873930980184 , z=-1.9632801790291525
x=2.175046040374528 , y=6.947456788658737 , z=7.15562926020357
x=0.5730731950483797 , y=3.748302284407165 , z=-2.652402317296342
x=-1.2693744836389471 , y=5.2354163538369765 , z=-7.19989432946631
x=-1.198788406283058 , y=7.033591333983855 , z=-1.2514304224693567
x=0.35174021945697265 , y=3.249400927237509 , z=1.2825349876855219
x=0.899690203012384 , y=3.3642597031338464 , z=1.9776384796759083
x=-0.7250178898840788 , y=5.6828658621428065 , z=-2.0398476101082386
x=-0.9188320607821555 , y=6.022643374153385 , z=-0.33618412221003596
x=0.2763705849780677 , y=3.5676409882779545 , z=-0.13160504046574653
x=0.6711780770975991 , y=3.4587711953825226 , z=2.0506201502321595
x=0.4247218900132237 , y=4.394349520734088 , z=0.1662953662047465
x=1.0779482766635242 , y=4.725750085821108 , z=-2.548316081523926
x=0.41156138596664904 , y=5.893433926888001 , z=-0.4965057639692938
x=-0.7058684028365991 , y=3.973221020521407 , z=-1.3291956501486235
x=0.599394203141529 , y=5.451965772305368 , z=1.6893051872514468
x=-0.25123974420739126 , y=6.995307618444312 , z=-0.22851212591478492
x=-1.0755603127408704 , y=4.955460008336074 , z=-0.5527335406784273
x=-0.03350015841652713 , y=3.6621601098043395 , z=-2.3497183535028334
x=0.9642949266450763 , y=4.620473682726219 , z=-2.1200084309878675
x=-0.22731432931460394 , y=3.408524772396586 , z=-4.920762053319366
x=-0.08254878480228275 , y=5.4088908703651 , z=2.4657672967216433
x=0.01435830064675565 , y=5.309595820993408 , z=0.2907212563471152
x=1.573256244032637 , y=6.6172463908941905 , z=3.5449133699853483
x=0.7178387395607009 , y=5.727130931405546 , z=1.1700718049895467
x=-1.2286951748990422 , y=2.7074399266830027 , z=-4.029448797230541
x=-0.5922150528181512 , y=2.5590809923701388 , z=-4.0497884516004925
x=0.7776522767926691 , y=4.864534276610232 , z=-2.276736682946582
x=0.9403618824745809 , y=4.935120353966122 , z=-3.3893829146268146
x=-0.06700031683305425 , y=6.013068630629645 , z=2.0745455651249465
x=-0.7429619510536692 , y=5.8132731060083715 , z=5.5189584598607135
