x,y,z
-0.01 , 7.568 , 5.944
-0.214 , 7.462 , 6.108
-0.288 , 7.652 , 6.602
-0.443 , 7.727 , 6.81
-0.422 , 7.716 , 6.71
-0.302 , 7.518 , 6.323
-0.336 , 7.339 , 5.649
-0.184 , 7.433 , 5.606
-0.187 , 7.722 , 5.871
-0.373 , 7.781 , 6.09
-0.491 , 7.642 , 6.355
-0.636 , 7.367 , 6.469
-0.7 , 7.168 , 6.687
-0.401 , 7.371 , 7.099
-0.327 , 7.484 , 7.07
-0.115 , 7.474 , 6.979
0.081 , 7.452 , 6.428
-0.155 , 7.374 , 5.957
-0.185 , 7.634 , 5.963
-0.46 , 7.804 , 6.273
-0.503 , 8.051 , 6.58
-0.384 , 8.102 , 6.522
-0.254 , 8.12 , 6.413
0.032 , 8.34 , 6.134
0.5 , 8.521 , 5.847
0.61 , 8.766 , 5.472
0.819 , 8.965 , 5.302
0.741 , 8.995 , 4.977
0.612 , 8.924 , 5.067
0.328 , 8.798 , 5.228
0.152 , 8.767 , 5.71
-0.029 , 8.624 , 5.985
-0.081 , 8.491 , 6.258
-0.146 , 8.336 , 6.158
-0.071 , 8.36 , 6.003
-0.142 , 8.412 , 5.65
-0.155 , 8.49 , 5.544
-0.239 , 8.571 , 5.533
-0.348 , 8.591 , 5.726
-0.355 , 8.496 , 5.941
-0.263 , 8.445 , 6.045
-0.107 , 8.31 , 6.163
0.054 , 8.359 , 6.225
0.09 , 8.516 , 5.977
0.164 , 8.719 , 5.693
0.102 , 8.784 , 5.292
-0.158 , 8.862 , 4.995
-0.385 , 9.01 , 5.005
-0.593 , 9.069 , 5.197
-0.709 , 9.006 , 5.449
-0.741 , 8.84 , 5.611
-0.721 , 8.727 , 5.634
-0.598 , 8.6 , 5.63
-0.624 , 8.627 , 5.606
-0.745 , 8.668 , 5.555
-1.007 , 8.637 , 5.456
-1.176 , 8.581 , 5.334
-1.352 , 8.401 , 5.431
-1.4 , 8.353 , 5.649
-1.322 , 8.358 , 5.981
-1.157 , 8.262 , 6.213
-1.043 , 8.118 , 6.243
-0.957 , 8.022 , 6.055
-0.819 , 8.063 , 5.861
-0.862 , 8.279 , 5.752
-0.741 , 8.632 , 5.879
-0.84 , 8.808 , 5.684
-0.8 , 8.791 , 5.683
-0.818 , 8.718 , 5.491
-0.698 , 8.627 , 5.41
-0.659 , 8.788 , 5.562
-0.694 , 8.959 , 5.584
-0.713 , 9.082 , 5.444
-0.953 , 9.126 , 4.992
-1.242 , 9.19 , 4.72
-1.376 , 9.329 , 4.592
-1.423 , 9.348 , 4.688
-1.375 , 9.326 , 4.758
-1.272 , 9.053 , 5.013
-1.129 , 8.845 , 5.07
-1.001 , 8.508 , 5.323
-0.957 , 8.281 , 5.555
-1.047 , 8.033 , 5.921
-1.137 , 7.968 , 6.219
-1.397 , 7.944 , 6.293
-1.581 , 7.799 , 6.434
-1.745 , 7.619 , 6.371
-1.894 , 7.476 , 6.31
-1.912 , 7.373 , 6.39
-2.097 , 7.403 , 6.336
-2.208 , 7.359 , 6.329
-2.265 , 7.252 , 6.309
-2.473 , 7.26 , 6.206
-2.496 , 7.528 , 6.069
-2.329 , 7.796 , 6.178
-2.221 , 7.931 , 5.849
-1.87 , 7.986 , 5.602
-1.455 , 7.964 , 5.486
-1.18 , 7.896 , 5.363
-0.853 , 7.963 , 5.656
-0.769 , 7.969 , 5.922
-0.801 , 7.929 , 6.17
-0.743 , 7.781 , 6.355
-0.896 , 7.443 , 6.358
-0.852 , 7.434 , 6.557
-0.898 , 7.336 , 6.7
-0.753 , 7.385 , 6.765
-0.665 , 7.375 , 6.67
-0.571 , 7.215 , 6.597
-0.576 , 7.163 , 6.533
-0.404 , 7.257 , 6.598
-0.464 , 7.243 , 6.621
-0.423 , 7.395 , 6.689
-0.38 , 7.425 , 6.642
-0.209 , 7.409 , 6.614
-0.076 , 7.483 , 6.485
0.116 , 7.624 , 6.339
0.333 , 7.759 , 6.347
0.38 , 7.923 , 6.188
0.554 , 7.998 , 6.122
0.673 , 8.115 , 5.92
0.791 , 8.195 , 5.854
0.862 , 8.214 , 5.911
0.938 , 8.278 , 5.91
1.011 , 8.357 , 5.995
1.013 , 8.309 , 6.005
1.033 , 8.266 , 6.098
1.032 , 8.221 , 6.293
1.034 , 8.251 , 6.217
1.119 , 8.142 , 6.184
1.282 , 8.105 , 6.25
1.305 , 8.019 , 6.408
1.429 , 7.911 , 6.563
1.722 , 7.875 , 6.73
1.804 , 7.855 , 6.814
1.995 , 7.698 , 6.911
2.007 , 7.498 , 6.899
2.068 , 7.43 , 6.863
2.124 , 7.374 , 6.829
2.144 , 7.267 , 6.85
2.104 , 7.418 , 7.022
1.89 , 7.586 , 7.282
1.831 , 7.733 , 7.429
1.463 , 7.68 , 7.161
1.574 , 7.391 , 7.11
1.13 , 7.435 , 6.17
1.12 , 7.529 , 6.541
0.754 , 7.732 , 6.175
0.361 , 7.61 , 6.026
0.414 , 7.597 , 6.254
0.072 , 7.664 , 5.89
0.43 , 7.911 , 6.16
0.371 , 7.939 , 5.857
0.687 , 7.829 , 6.044
0.906 , 7.796 , 5.642
1.022 , 7.702 , 5.618
1.129 , 7.756 , 5.823
1.268 , 7.676 , 6.391
0.968 , 7.605 , 6.382
0.944 , 7.708 , 7.821
0.9 , 7.963 , 7.572
0.73 , 7.713 , 6.24
1.467 , 7.745 , 6.142
1.11 , 7.946 , 5.247
1.337 , 8.294 , 6.233
1.287 , 8.409 , 6.061
1.046 , 8.458 , 5.63
0.993 , 8.235 , 5.338
0.686 , 8.063 , 5.503
0.528 , 8.351 , 5.997
0.538 , 8.535 , 6.088
0.403 , 8.431 , 6.243
0.58 , 8.299 , 6.128
0.428 , 8.115 , 5.98
0.464 , 7.904 , 6.479
0.409 , 7.647 , 6.668
0.327 , 7.427 , 6.904
0.394 , 7.145 , 7.286
-0.005 , 7.131 , 7.257
-0.217 , 7.134 , 7.27
-0.526 , 7.053 , 7.185
-0.849 , 7.155 , 6.738
-0.882 , 7.229 , 6.455
-1.042 , 7.306 , 6.142
-1.002 , 7.257 , 5.966
-1.096 , 7.083 , 5.588
-1.116 , 6.822 , 5.872
-1.291 , 6.762 , 6.073
-1.405 , 6.651 , 6.474
-1.443 , 6.652 , 6.609
-1.435 , 6.529 , 6.707
-1.168 , 6.591 , 6.709
-0.834 , 6.639 , 6.761
-0.65 , 6.653 , 6.801
-0.457 , 6.63 , 6.755
-0.464 , 6.542 , 6.788
-0.589 , 6.593 , 6.782
-0.823 , 6.689 , 7.016
-1.031 , 6.879 , 7.055
-1.138 , 7.099 , 6.919
-1.265 , 7.234 , 6.577
-1.143 , 7.373 , 6.117
-1.001 , 7.628 , 5.879
-0.83 , 7.914 , 5.742
-0.846 , 8.078 , 5.549
-0.792 , 8.2 , 5.432
-0.886 , 8.146 , 5.387
-0.962 , 8.145 , 5.551
-1.127 , 8.202 , 5.697
-1.346 , 8.196 , 5.823
-1.505 , 8.156 , 5.91
-1.733 , 8.06 , 5.868
-1.907 , 7.927 , 5.884
-2.143 , 7.818 , 5.884
-2.39 , 7.814 , 5.824
-2.473 , 7.905 , 5.976
-2.572 , 8.002 , 6.054
-2.623 , 8.023 , 6.033
-2.592 , 8.03 , 5.923
-2.62 , 8.0 , 5.798
-2.58 , 8.026 , 5.628
-2.602 , 8.169 , 5.656
-2.659 , 8.227 , 5.514
-2.596 , 8.358 , 5.497
-2.623 , 8.546 , 5.441
-2.614 , 8.578 , 5.289
-2.445 , 8.69 , 5.274
-2.293 , 8.777 , 5.326
-2.171 , 8.919 , 5.398
-2.088 , 9.045 , 5.497
-2.1 , 9.061 , 5.534
-2.27 , 9.031 , 5.411
-2.457 , 9.055 , 5.328
-2.653 , 9.089 , 5.272
-2.798 , 9.279 , 5.271
-2.96 , 9.405 , 5.174
-3.009 , 9.385 , 5.068
-3.078 , 9.279 , 4.842
