x=-0.6037276328797635 , y=5.156857681276061 , z=-0.14800798753828884
x=-0.7561148258225358 , y=4.378602691544447 , z=-0.8915268758646537
x=-0.06801501076823943 , y=4.861589375414883 , z=0.5230556503936878
x=0.28835618025758586 , y=4.4938276727707755 , z=-0.8076963724074002
x=-0.16779833391325386 , y=4.72748193186086 , z=0.0636434346414642
x=-0.57510258291875 , y=4.738056110764369 , z=-0.3867433455820071
x=-0.4119123327412244 , y=4.958305728921217 , z=-0.9369515953390337
x=-0.2888368247531999 , y=5.069288831741809 , z=-1.1213588668229502
x=-0.3164090343904873 , y=4.928871975523139 , z=-0.8331857892303601
x=-0.08076353381857349 , y=4.913209068388288 , z=-0.4700932045436466
x=0.05068129181530169 , y=4.830400888143928 , z=-0.5460731812392042
x=-0.3958069274993003 , y=4.679219121079044 , z=-0.473465345290653
x=-0.7738986721602549 , y=4.591940184097703 , z=-0.3088484201817015
x=-0.48279595192773167 , y=4.649312352463061 , z=-0.4118894449080999
x=-0.06330011714459705 , y=4.6884200299950844 , z=-0.544287930255495
x=0.010131680796435442 , y=4.677472016483876 , z=-0.32185633867411295
x=-0.05779177863930608 , y=4.678631666695517 , z=-0.3926712943612468
x=-0.23864380671122037 , y=4.831446099189946 , z=-0.48179651654796285
x=-0.6253490059046867 , y=4.806734868693218 , z=-0.7511557953122322
x=-0.6529822497636394 , y=4.804308758382024 , z=-0.7853883643887426
x=-0.0841661916764125 , y=4.94312346628198 , z=-0.7744174630444097
x=0.2443047307706745 , y=4.90371061764163 , z=-0.888810853000549
x=-0.12827104610728093 , y=4.8623294153525745 , z=-0.44728166419625054
x=-0.5044554713411957 , y=4.667424257742231 , z=-0.4175732568006785
x=-0.29555058913638 , y=4.653813626310875 , z=-0.4789050202965705
x=-0.06068327489069843 , y=4.661107215799875 , z=-0.30335534023182686
x=-0.07472877515141955 , y=4.556181759479561 , z=-0.31013013883667223
x=0.012664600995544303 , y=4.724147937502394 , z=-0.3349939548875631
x=0.013175762601990972 , y=4.8659075465977 , z=-0.6460396070492145
x=-0.31574528722987744 , y=4.890626406372137 , z=-0.620000882231267
x=-0.433121724769907 , y=4.8693788679549135 , z=-0.5784594651103402
x=-0.11887177597082879 , y=4.852258768777804 , z=-0.7893555887969854
x=0.06371209814083764 , y=4.847780382763115 , z=-0.7008712259377547
x=-0.10005797714250815 , y=4.787898182031773 , z=-0.4738391798983528
x=-0.24200068890281043 , y=4.771861440289222 , z=-0.543525002484679
x=-0.26528524446811236 , y=4.828966583934794 , z=-0.589811830340081
x=-0.341455953106374 , y=4.7386817115364375 , z=-0.5691364877509696
x=-0.2903397924617072 , y=4.6935774217258 , z=-0.47816498035887905
x=-0.06025603533904151 , y=4.738498608871442 , z=-0.5657262006154224
x=-0.021842622078459845 , y=4.797785725941547 , z=-0.6892823530990609
x=-0.23997130103244008 , y=4.8519307098363536 , z=-0.6994521802840372
x=-0.25960143257553375 , y=4.9196100323854335 , z=-0.8150891425066065
x=-0.0422051642815368 , y=5.002372436963545 , z=-0.9301996845673127
x=0.032737230645711206 , y=4.944756131711526 , z=-0.8458961658921534
x=-0.07684971435428781 , y=4.805224271707003 , z=-0.6501670462893286
x=-0.12273981976886551 , y=4.759624078845334 , z=-0.4933014673318669
x=-0.20752398293963892 , y=4.677838221813868 , z=-0.46974225776907125
x=-0.3699284175132242 , y=4.599546573972738 , z=-0.33585606326858514
x=-0.28229090447959926 , y=4.596937360996548 , z=-0.2747836952147706
x=-0.013877656151141619 , y=4.697491241190086 , z=-0.412660001956624
x=-0.03430123257588385 , y=4.754832892444611 , z=-0.5076902850894552
x=-0.30382835544973275 , y=4.760982090277387 , z=-0.48575611167849747
x=-0.33696230853626824 , y=4.793444666925605 , z=-0.6120282870262407
x=-0.20774523199317552 , y=4.870607181665927 , z=-0.6406609662649623
x=-0.21754885384816014 , y=4.817759174981508 , z=-0.6803637274582228
x=-0.220417462266428 , y=4.801440149963756 , z=-0.5952438760682904
x=-0.12981216020432912 , y=4.7961912069005415 , z=-0.6358240041979893
x=-0.14628377077624485 , y=4.799532830536716 , z=-0.6235942720318101
x=-0.3192166085870899 , y=4.75545849321668 , z=-0.48615283411932175
x=-0.3081465266325509 , y=4.726604564924422 , z=-0.41214884035017735
x=-0.12192348705409248 , y=4.750262955097424 , z=-0.4120344011845549
x=-0.11462989756509226 , y=4.748981236442453 , z=-0.39781342753654614
x=-0.2595098812430358 , y=4.739498044251211 , z=-0.4264842531638085
x=-0.3054076159353217 , y=4.78583827705057 , z=-0.4664769269099791
x=-0.26889389282407167 , y=4.829973648592271 , z=-0.48725907938700486
x=-0.28536550339598743 , y=4.798701239266526 , z=-0.5326075060843032
x=-0.2889588931965304 , y=4.763087770924839 , z=-0.5689228679751411
x=-0.20291589920391073 , y=4.786730902542424 , z=-0.5457832686862942
x=-0.18057737407442054 , y=4.79897589326402 , z=-0.5248180135442727
x=-0.29336861571184647 , y=4.789355374074031 , z=-0.5752627977506214
x=-0.3471473942766608 , y=4.808398051233596 , z=-0.5861726648732891
x=-0.270633368141532 , y=4.802576912342271 , z=-0.5966705509997162
x=-0.18526937986493847 , y=4.789790242903396 , z=-0.4858400337332872
x=-0.18440727148391647 , y=4.74389250821111 , z=-0.47508275216478274
x=-0.231487544220967 , y=4.7459600424700215 , z=-0.459572430584095
x=-0.27141918374547236 , y=4.7437856983231965 , z=-0.48184992149191996
x=-0.19988707595377153 , y=4.77365432055064 , z=-0.4639974116548274
x=-0.06759540049429068 , y=4.818712834695028 , z=-0.45010449694826943
x=0.03271434281258673 , y=4.78977498434798 , z=-0.621534367050607
x=0.0030211939724310508 , y=4.827936631444192 , z=-0.5797564423207272
x=-0.16508994032685734 , y=4.779078737001141 , z=-0.6214733328289418
x=-0.2785678169580176 , y=4.761371183440503 , z=-0.6036131937141411
x=-0.22147793186786213 , y=4.781764242754413 , z=-0.6031172906631107
x=-0.11030409710456598 , y=4.791544976776273 , z=-0.6268596028909023
x=-0.041381202289055605 , y=4.807497796464034 , z=-0.6448112933382009
x=0.011062452676830868 , y=4.807207883911124 , z=-0.655408360074834
x=-0.004058775740740705 , y=4.795725820960344 , z=-0.6385781734506348
x=-0.11405770173698032 , y=4.748264084337886 , z=-0.5715702273398724
x=-0.2124296085059853 , y=4.705646939060109 , z=-0.5073317090371717
x=-0.17982970485902094 , y=4.696835123307184 , z=-0.48768631893866177
x=-0.09898987826336586 , y=4.721897300578488 , z=-0.51587650007031
x=-0.06938065147799993 , y=4.765635949679364 , z=-0.558905626344328
x=-0.11158581575953673 , y=4.826036941294861 , z=-0.6224346218201698
x=-0.18664264985240714 , y=4.855073972252114 , z=-0.6916169120777577
x=-0.2271159680941918 , y=4.841226833211806 , z=-0.6528296642094762
x=-0.17206310015211487 , y=4.7879973626419785 , z=-0.5818468644127628
x=-0.06575674456662431 , y=4.757907491360999 , z=-0.5537558638913206
x=-0.06062986994674131 , y=4.772593850949206 , z=-0.5257182683138355
x=-0.1719410317087843 , y=4.777270598184307 , z=-0.557753605410396
x=-0.26786394033347016 , y=4.788104172529893 , z=-0.6106931634273128
x=-0.2643697311431333 , y=4.779681449940085 , z=-0.5978530890444809
x=-0.22497977033590721 , y=4.741161226791589 , z=-0.5546103429946344
x=-0.16914871606759804 , y=4.726200213205889 , z=-0.478020024082424
x=-0.1013778421860197 , y=4.73150256121306 , z=-0.4032454732647555
x=-0.05215374241297642 , y=4.7652163394054154 , z=-0.45045544372284474
x=-0.08123654903647937 , y=4.817659994371302 , z=-0.5138089658113989
x=-0.13603765081418703 , y=4.833490745615732 , z=-0.6245403024676218
x=-0.17387886824665677 , y=4.818857790971483 , z=-0.6426445784690836
x=-0.1625493908500403 , y=4.783312986129169 , z=-0.6219844944353885
x=-0.14984664346595522 , y=4.786570687710553 , z=-0.5206600571933259
x=-0.22317163151907346 , y=4.768870763427624 , z=-0.47885924463032153
x=-0.2532538735223453 , y=4.755145692830645 , z=-0.48119380360901826
x=-0.18605519546887886 , y=4.758662789854107 , z=-0.5313715630955814
x=-0.1349237762687958 , y=4.777186676129517 , z=-0.5786273092199197
x=-0.16081754481028818 , y=4.767451717773906 , z=-0.5738208642637793
x=-0.20478507224240974 , y=4.720646099034349 , z=-0.5556402954852359
x=-0.2252391657779846 , y=4.708301927702547 , z=-0.4998168704946349
x=-0.256976961043927 , y=4.700207264054191 , z=-0.5169140818386198
x=-0.2670247197855727 , y=4.729358734177067 , z=-0.5924134140385633
x=-0.23745363938874753 , y=4.81543224528052 , z=-0.6439644435125952
x=-0.2127271503366035 , y=4.887361075513045 , z=-0.7089735188638199
x=-0.1934174484572525 , y=4.904641389522025 , z=-0.6829042769350399
x=-0.15623234890768448 , y=4.848871369475381 , z=-0.6420876411963881
