x=-1.5122528 , y=8.7573395 , z=-1.783081
x=-0.1360321 , y=9.723328 , z=1.0461273
x=0.5767212 , y=8.987793 , z=-1.6154175
x=-0.3356018 , y=9.455109 , z=0.12728882
x=-1.1502228 , y=9.476257 , z=-0.77349854
x=-0.8238373 , y=9.916763 , z=-1.8739319
x=-0.5776825 , y=10.138733 , z=-2.242752
x=-0.63282776 , y=9.857895 , z=-1.6663971
x=-0.16152954 , y=9.826569 , z=-0.9402008
x=0.101364136 , y=9.66095 , z=-1.0921631
x=-0.791626 , y=9.358582 , z=-0.9469452
x=-1.547821 , y=9.184021 , z=-0.6177063
x=-0.9656067 , y=9.298767 , z=-0.8237915
x=-0.12660217 , y=9.376984 , z=-1.0885925
x=0.020263672 , y=9.355087 , z=-0.64372253
x=-0.11558533 , y=9.357407 , z=-0.7853546
x=-0.47729492 , y=9.66304 , z=-0.9636078
x=-1.2507172 , y=9.613617 , z=-1.5023346
x=-1.3059845 , y=9.608765 , z=-1.5708008
x=-0.16833496 , y=9.886398 , z=-1.5488586
x=0.48861694 , y=9.807571 , z=-1.7776489
x=-0.25654602 , y=9.724808 , z=-0.894577
x=-1.0089264 , y=9.334991 , z=-0.8351593
x=-0.5911102 , y=9.30777 , z=-0.9578247
x=-0.12136841 , y=9.322357 , z=-0.60672
x=-0.14945984 , y=9.112503 , z=-0.6202698
x=0.02532959 , y=9.448441 , z=-0.66999817
x=0.026351929 , y=9.731964 , z=-1.292099
x=-0.63150024 , y=9.781403 , z=-1.2400208
x=-0.8662567 , y=9.738907 , z=-1.1569366
x=-0.23774719 , y=9.704666 , z=-1.5787354
x=0.12742615 , y=9.695709 , z=-1.4017639
x=-0.20011902 , y=9.575943 , z=-0.9476929
x=-0.4840088 , y=9.543869 , z=-1.0870667
x=-0.5305786 , y=9.658081 , z=-1.1796417
x=-0.68292236 , y=9.477509 , z=-1.1382904
x=-0.5806885 , y=9.387299 , z=-0.9563446
x=-0.120513916 , y=9.477142 , z=-1.1314697
x=-0.043685913 , y=9.595718 , z=-1.3785858
x=-0.47994995 , y=9.70401 , z=-1.3989258
x=-0.5192108 , y=9.839371 , z=-1.6302032
x=-0.08441162 , y=10.004898 , z=-1.8604279
x=0.065475464 , y=9.889664 , z=-1.6918182
x=-0.15370178 , y=9.610596 , z=-1.300354
x=-0.2454834 , y=9.519394 , z=-0.98661804
x=-0.41505432 , y=9.35582 , z=-0.9394989
x=-0.73986816 , y=9.199234 , z=-0.6717224
x=-0.56459045 , y=9.1940155 , z=-0.5495758
x=-0.027755737 , y=9.395126 , z=-0.82533264
x=-0.068603516 , y=9.509811 , z=-1.0153961
x=-0.607666 , y=9.52211 , z=-0.9715271
x=-0.67393494 , y=9.587036 , z=-1.2240753
x=-0.41549683 , y=9.741364 , z=-1.2813416
x=-0.43510437 , y=9.635666 , z=-1.3607483
x=-0.44084167 , y=9.603027 , z=-1.190506
x=-0.2596283 , y=9.592529 , z=-1.2716675
x=-0.29257202 , y=9.599213 , z=-1.2472076
x=-0.638443 , y=9.511063 , z=-0.97232056
x=-0.6163025 , y=9.453354 , z=-0.8243103
x=-0.24385071 , y=9.500671 , z=-0.8240814
x=-0.2292633 , y=9.498108 , z=-0.79563904
x=-0.5190277 , y=9.479141 , z=-0.85298157
x=-0.6108246 , y=9.571823 , z=-0.93296814
x=-0.537796 , y=9.660095 , z=-0.9745331
x=-0.57073975 , y=9.597549 , z=-1.0652313
x=-0.57792664 , y=9.526321 , z=-1.1378632
x=-0.405838 , y=9.573608 , z=-1.0915833
x=-0.36116028 , y=9.598099 , z=-1.0496521
x=-0.5867462 , y=9.578857 , z=-1.1505432
x=-0.6943054 , y=9.616943 , z=-1.1723633
