bump:10.6,pothole:4.0,basespeed:5.0,lowerspeed:5.0,scaling:5.0,,,,,
x,y,z,latitude,longitude,bearing,accuracy,light,timestamp,
-3.6499777,2.5395963,7.7878823,23.5511104,87.29696656,121.451103210449,4.5509996,0,12962553,0
-3.26312,-2.612616,9.735235,23.55109364,87.29699142,126.177719116211,4.5509996,0,12962576,0
-2.0365682,-2.6503034,11.740943,23.55109364,87.29699142,126.177719116211,4.5509996,0,12962613,0
-2.89022,0.9349772,8.94652,23.55109364,87.29699142,126.177719116211,4.5509996,0,12962634,0
-1.9489568,4.567663,7.0068793,23.55109364,87.29699142,126.177719116211,4.5509996,0,12962674,0
-2.28443,-5.0903387,12.267095,23.55109364,87.29699142,126.177719116211,4.5509996,0,12962714,0
-4.021168,-1.8604823,10.78887,23.55109364,87.29699142,126.177719116211,4.5509996,0,12962754,0
0.6685648,2.1172078,8.785059,23.55109364,87.29699142,126.177719116211,4.5509996,0,12962795,0
0.003236458,1.7116032,8.280371,23.55109364,87.29699142,126.177719116211,4.5509996,0,12962835,0
-2.634645,7.903935,3.9781008,23.55109364,87.29699142,126.177719116211,4.5509996,0,12962876,0
-1.0671428,5.724017,6.846619,23.55109364,87.29699142,126.177719116211,4.5509996,0,12962916,0
-1.5353,-4.2606907,11.619277,23.55109364,87.29699142,126.177719116211,4.5509996,0,12962956,0
-0.23207666,0.14429004,10.467478,23.55109364,87.29699142,126.177719116211,4.5509996,0,12962977,0
-1.0193028,1.3588924,10.005828,23.55109364,87.29699142,126.177719116211,4.5509996,0,12963016,0
0.17819747,5.520007,7.0114956,23.55109364,87.29699142,126.177719116211,4.5509996,0,12963056,0
-3.1293666,-5.2746735,12.16483,23.55109364,87.29699142,126.177719116211,4.5509996,0,12963077,0
-1.2743816,3.3773062,8.345314,23.55109364,87.29699142,126.177719116211,4.5509996,0,12963117,0
-2.904926,1.9236426,8.06987,23.55109364,87.29699142,126.177719116211,4.5509996,0,12963158,0
-0.85371697,2.1585357,7.4825587,23.55109364,87.29699142,126.177719116211,4.5509996,0,12963198,0
-1.2073238,3.086627,7.885505,23.55109364,87.29699142,126.177719116211,4.5509996,0,12963238,0
-0.73974305,3.140379,8.284817,23.55109364,87.29699142,126.177719116211,4.5509996,0,12963278,0
0.3702197,3.218261,7.8038397,23.55109364,87.29699142,126.177719116211,4.5509996,0,12963319,0
-1.957997,2.6853697,7.5726895,23.55109364,87.29699142,126.177719116211,4.5509996,0,12963361,0
-0.13143715,3.787762,8.849623,23.55109364,87.29699142,126.177719116211,4.5509996,0,12963400,0
-0.23251033,2.948796,7.691317,23.55109364,87.29699142,126.177719116211,4.5509996,0,12963440,0
-1.1553037,-2.0349984,11.11635,23.55109364,87.29699142,126.177719116211,4.5509996,0,12963461,0
-1.7294898,5.9335456,4.939018,23.55109364,87.29699142,126.177719116211,4.5509996,0,12963501,0
-1.2207682,-3.102187,13.379119,23.55109364,87.29699142,126.177719116211,4.5509996,0,12963541,0
0.76419663,-3.4901721,9.422098,23.55107063,87.29705027,112.982734680176,4.5509996,0,12963580,0
-3.5594738,-2.5370426,11.819002,23.55107063,87.29705027,112.982734680176,4.5509996,0,12963601,0
-1.938328,-2.751428,10.578273,23.55107063,87.29705027,112.982734680176,4.5509996,0,12963642,0
-0.8177454,-1.7712806,11.32319,23.55107063,87.29705027,112.982734680176,4.5509996,0,12963682,0
-1.60267,-4.148909,12.661207,23.55107063,87.29705027,112.982734680176,4.5509996,0,12963722,0
