x,y,z
-0.579 , 8.318 , 5.587
-0.622 , 8.25 , 5.61
-0.548 , 8.224 , 5.663
-0.552 , 8.164 , 5.657
-0.558 , 8.183 , 5.746
-0.441 , 8.166 , 5.769
-0.467 , 8.205 , 5.674
-0.498 , 8.171 , 5.701
-0.501 , 8.153 , 5.601
-0.58 , 8.144 , 5.686
-0.561 , 8.178 , 5.778
-0.58 , 8.132 , 5.793
-0.496 , 8.183 , 5.837
-0.485 , 8.147 , 5.811
-0.435 , 8.177 , 5.752
-0.445 , 8.196 , 5.663
-0.43 , 8.26 , 5.595
-0.393 , 8.318 , 5.528
-0.409 , 8.363 , 5.571
-0.412 , 8.304 , 5.541
-0.417 , 8.334 , 5.584
-0.416 , 8.356 , 5.674
-0.322 , 8.37 , 5.705
-0.337 , 8.387 , 5.632
-0.27 , 8.311 , 5.617
-0.296 , 8.299 , 5.543
-0.325 , 8.401 , 5.543
-0.328 , 8.409 , 5.59
-0.278 , 8.376 , 5.64
-0.296 , 8.394 , 5.515
-0.282 , 8.372 , 5.58
-0.294 , 8.357 , 5.523
-0.378 , 8.326 , 5.587
-0.436 , 8.372 , 5.54
-0.44 , 8.378 , 5.51
-0.357 , 8.402 , 5.534
-0.428 , 8.448 , 5.507
-0.435 , 8.403 , 5.539
-0.397 , 8.376 , 5.629
-0.455 , 8.329 , 5.63
-0.421 , 8.308 , 5.751
-0.385 , 8.278 , 5.747
-0.407 , 8.31 , 5.787
-0.461 , 8.267 , 5.772
-0.491 , 8.399 , 5.73
-0.528 , 8.397 , 5.672
-0.539 , 8.464 , 5.492
-0.519 , 8.492 , 5.381
-0.418 , 8.485 , 5.303
-0.452 , 8.516 , 5.321
-0.395 , 8.589 , 5.359
-0.381 , 8.57 , 5.477
-0.4 , 8.551 , 5.459
-0.393 , 8.533 , 5.474
-0.418 , 8.491 , 5.371
-0.393 , 8.487 , 5.405
-0.4 , 8.448 , 5.45
-0.415 , 8.48 , 5.549
-0.445 , 8.411 , 5.654
-0.441 , 8.335 , 5.645
-0.491 , 8.266 , 5.702
-0.519 , 8.241 , 5.736
-0.554 , 8.336 , 5.804
-0.598 , 8.256 , 5.776
-0.557 , 8.277 , 5.692
-0.55 , 8.261 , 5.521
-0.478 , 8.31 , 5.423
-0.515 , 8.382 , 5.483
-0.485 , 8.451 , 5.564
-0.428 , 8.444 , 5.616
-0.435 , 8.411 , 5.555
-0.437 , 8.369 , 5.578
-0.428 , 8.329 , 5.549
-0.362 , 8.333 , 5.587
-0.395 , 8.423 , 5.568
-0.4 , 8.384 , 5.561
-0.374 , 8.393 , 5.576
-0.387 , 8.332 , 5.547
-0.356 , 8.323 , 5.6
-0.406 , 8.328 , 5.671
-0.367 , 8.263 , 5.72
-0.394 , 8.256 , 5.733
-0.366 , 8.247 , 5.672
-0.284 , 8.237 , 5.629
-0.293 , 8.328 , 5.645
-0.302 , 8.294 , 5.566
-0.275 , 8.326 , 5.517
-0.352 , 8.348 , 5.544
-0.327 , 8.316 , 5.581
-0.34 , 8.323 , 5.561
-0.318 , 8.339 , 5.586
-0.307 , 8.28 , 5.618
-0.395 , 8.3 , 5.65
-0.39 , 8.288 , 5.625
-0.372 , 8.304 , 5.592
-0.332 , 8.339 , 5.623
-0.343 , 8.292 , 5.673
-0.32 , 8.237 , 5.685
-0.367 , 8.282 , 5.629
-0.318 , 8.232 , 5.632
-0.37 , 8.26 , 5.653
-0.379 , 8.287 , 5.619
-0.346 , 8.265 , 5.691
-0.378 , 8.288 , 5.642
-0.297 , 8.277 , 5.693
-0.357 , 8.247 , 5.62
-0.318 , 8.291 , 5.611
-0.254 , 8.305 , 5.65
-0.294 , 8.324 , 5.671
-0.259 , 8.268 , 5.675
-0.228 , 8.356 , 5.8
-0.234 , 8.328 , 5.698
-0.184 , 8.304 , 5.71
-0.156 , 8.245 , 5.641
-0.193 , 8.233 , 5.57
-0.229 , 8.28 , 5.672
-0.216 , 8.305 , 5.754
-0.217 , 8.255 , 5.705
-0.211 , 8.284 , 5.715
-0.231 , 8.237 , 5.666
-0.224 , 8.22 , 5.665
-0.227 , 8.203 , 5.655
-0.161 , 8.196 , 5.618
-0.215 , 8.265 , 5.651
-0.198 , 8.209 , 5.681
-0.181 , 8.186 , 5.619
-0.222 , 8.23 , 5.601
-0.212 , 8.195 , 5.68
-0.271 , 8.282 , 5.73
-0.266 , 8.218 , 5.769
-0.288 , 8.17 , 5.782
-0.24 , 8.235 , 5.807
-0.152 , 8.196 , 5.795
-0.185 , 8.279 , 5.775
-0.139 , 8.243 , 5.709
-0.126 , 8.286 , 5.672
-0.046 , 8.305 , 5.704
-0.071 , 8.367 , 5.681
-0.111 , 8.375 , 5.686
-0.133 , 8.327 , 5.685
-0.135 , 8.382 , 5.58
-0.111 , 8.363 , 5.58
-0.12 , 8.35 , 5.629
-0.028 , 8.367 , 5.693
-0.023 , 8.391 , 5.695
-0.022 , 8.344 , 5.662
0.034 , 8.284 , 5.628
0.001 , 8.316 , 5.668
-0.005 , 8.332 , 5.655
-0.02 , 8.391 , 5.684
-0.002 , 8.323 , 5.732
0.015 , 8.312 , 5.729
-0.048 , 8.262 , 5.711
-0.067 , 8.28 , 5.736
-0.029 , 8.317 , 5.742
-0.057 , 8.32 , 5.752
-0.057 , 8.326 , 5.704
-0.145 , 8.298 , 5.645
-0.137 , 8.285 , 5.65
-0.154 , 8.329 , 5.589
-0.2 , 8.255 , 5.566
-0.164 , 8.33 , 5.614
-0.17 , 8.363 , 5.644
-0.121 , 8.309 , 5.686
-0.161 , 8.308 , 5.622
-0.157 , 8.338 , 5.583
-0.138 , 8.346 , 5.582
-0.148 , 8.397 , 5.631
-0.162 , 8.333 , 5.587
-0.132 , 8.245 , 5.589
-0.101 , 8.268 , 5.679
-0.093 , 8.326 , 5.823
-0.099 , 8.248 , 5.892
-0.089 , 8.157 , 5.829
-0.095 , 8.068 , 5.922
-0.088 , 8.165 , 5.914
-0.103 , 8.235 , 6.012
-0.045 , 8.239 , 5.935
-0.118 , 8.139 , 5.786
-0.149 , 8.107 , 5.672
-0.12 , 8.18 , 5.728
-0.114 , 8.233 , 5.728
-0.154 , 8.248 , 5.895
-0.151 , 8.184 , 5.833
-0.168 , 8.194 , 5.786
-0.117 , 8.251 , 5.727
-0.127 , 8.269 , 5.68
-0.052 , 8.318 , 5.714
-0.078 , 8.281 , 5.754
0.018 , 8.298 , 5.723
-0.051 , 8.213 , 5.654
-0.027 , 8.25 , 5.642
-0.046 , 8.239 , 5.721
-0.087 , 8.259 , 5.76
-0.174 , 8.314 , 5.751
-0.223 , 8.227 , 5.69
-0.229 , 8.201 , 5.626
-0.258 , 8.268 , 5.623
-0.248 , 8.415 , 5.69
-0.191 , 8.431 , 5.634
-0.106 , 8.323 , 5.532
-0.127 , 8.286 , 5.426
-0.063 , 8.277 , 5.484
-0.143 , 8.354 , 5.623
-0.115 , 8.346 , 5.71
-0.152 , 8.344 , 5.742
-0.205 , 8.317 , 5.787
-0.182 , 8.261 , 5.71
-0.198 , 8.268 , 5.675
-0.178 , 8.278 , 5.651
-0.151 , 8.294 , 5.768
-0.162 , 8.32 , 5.806
-0.18 , 8.294 , 5.752
-0.091 , 8.263 , 5.762
-0.108 , 8.315 , 5.729
-0.117 , 8.393 , 5.756
-0.143 , 8.425 , 5.649
-0.169 , 8.469 , 5.545
-0.194 , 8.467 , 5.453
-0.206 , 8.441 , 5.353
-0.249 , 8.473 , 5.353
-0.364 , 8.499 , 5.45
-0.34 , 8.443 , 5.478
-0.379 , 8.423 , 5.502
-0.393 , 8.395 , 5.52
-0.37 , 8.42 , 5.519
-0.314 , 8.35 , 5.501
-0.272 , 8.359 , 5.514
-0.294 , 8.323 , 5.569
-0.281 , 8.22 , 5.596
-0.283 , 8.219 , 5.695
-0.349 , 8.265 , 5.8
-0.368 , 8.253 , 5.774
-0.32 , 8.163 , 5.769
-0.345 , 8.193 , 5.607
-0.36 , 8.257 , 5.697
-0.271 , 8.354 , 5.701
-0.334 , 8.402 , 5.653
-0.265 , 8.389 , 5.52
-0.271 , 8.424 , 5.411
-0.307 , 8.356 , 5.303
-0.281 , 8.407 , 5.357
-0.297 , 8.365 , 5.504
-0.337 , 8.378 , 5.681
-0.29 , 8.329 , 5.689
-0.308 , 8.268 , 5.727
-0.305 , 8.157 , 5.746
-0.282 , 8.144 , 5.769
-0.336 , 8.152 , 5.883
-0.346 , 8.127 , 6.0
-0.409 , 8.116 , 5.96
-0.458 , 8.024 , 5.916
-0.419 , 7.927 , 5.839
-0.404 , 7.996 , 5.835
-0.435 , 8.041 , 5.935
-0.38 , 8.134 , 5.98
-0.362 , 8.11 , 5.873
-0.34 , 8.036 , 5.76
-0.303 , 8.022 , 5.683
-0.312 , 8.132 , 5.65
-0.284 , 8.263 , 5.671
-0.275 , 8.287 , 5.622
-0.269 , 8.241 , 5.413
-0.247 , 8.207 , 5.426
-0.278 , 8.192 , 5.44
-0.299 , 8.183 , 5.535
-0.367 , 8.263 , 5.636
-0.431 , 8.128 , 5.729
-0.405 , 8.078 , 5.813
-0.479 , 8.09 , 5.857
-0.48 , 8.142 , 5.794
-0.308 , 8.011 , 6.048
-0.501 , 8.138 , 5.477
-0.302 , 8.083 , 6.012
-0.334 , 8.056 , 5.833
-0.364 , 8.101 , 5.784
-0.344 , 8.164 , 6.026
-0.411 , 8.141 , 5.666
-0.369 , 8.134 , 5.839
-0.536 , 8.123 , 5.762
-0.471 , 8.248 , 5.725
-0.491 , 8.318 , 5.812
-0.539 , 8.317 , 5.679
-0.321 , 8.305 , 5.602
-0.342 , 8.26 , 5.516
-0.346 , 8.396 , 5.535
-0.278 , 8.401 , 5.643
